Feature,Instance,LocX,LocY,Checkin
A,308,608942.45,522690.12,1647
A,309,967242.23,958219.13,5468
A,309,967242.23,958219.13,5468
A,310,929867.8,628862.82,6523
A,310,929867.8,628862.82,6523
A,311,733049.79,1050810.49,2747
A,311,733049.79,1050810.49,2747
A,312,802200.89,925967.11,4580
A,312,802200.89,925967.11,4580
A,313,893999.18,1025146.06,2547
A,313,893999.18,1025146.06,2547
A,314,1062630.16,820016.8,555
A,314,1062630.16,820016.8,555
A,315,1012257.05,991752.22,785
A,315,1012257.05,991752.22,785
A,316,1082657.79,950791.64,548
A,316,1082657.79,950791.64,548
A,317,617905.99,1085194.63,826
A,317,617905.99,1085194.63,826
A,318,1238278.95,904151.16,1917
A,318,1238278.95,904151.16,1917
A,319,528231.64,937355.01,256
A,319,528231.64,937355.01,256
A,320,984234.86,1052947.97,1376
A,320,984234.86,1052947.97,1376
A,321,1297370.58,869787.94,5680
A,321,1297370.58,869787.94,5680
A,322,993312.0,702019.55,1601
A,322,993312.0,702019.55,1601
A,323,629389.96,528864.32,5503
A,323,629389.96,528864.32,5503
A,324,802650.85,870250.19,2207
A,324,802650.85,870250.19,2207
A,325,1019783.84,821361.49,3592
A,325,1019783.84,821361.49,3592
A,326,1249207.16,867891.53,673
A,326,1249207.16,867891.53,673
A,327,883297.06,882276.81,128
A,327,883297.06,882276.81,128
A,328,962556.64,896142.25,4166
A,328,962556.64,896142.25,4166
A,329,1096554.17,973856.65,2561
A,329,1096554.17,973856.65,2561
A,330,935660.47,725735.95,3331
A,330,935660.47,725735.95,3331
A,331,1207266.32,908107.28,4731
A,331,1207266.32,908107.28,4731
A,332,846597.57,785841.8,2053
A,332,846597.57,785841.8,2053
A,333,962195.79,752835.28,1523
A,333,962195.79,752835.28,1523
A,334,1057809.81,941544.06,826
A,334,1057809.81,941544.06,826
A,335,1085745.13,980700.19,305
A,335,1085745.13,980700.19,305
A,336,1115788.79,978122.26,12412
A,336,1115788.79,978122.26,12412
A,337,1210482.85,837898.07,433
A,337,1210482.85,837898.07,433
A,338,1092837.55,1049551.0,2
A,338,1092837.55,1049551.0,2
A,339,793201.71,838702.71,1423
A,339,793201.71,838702.71,1423
A,340,633026.39,525452.42,830
A,340,633026.39,525452.42,830
A,341,1204460.76,940626.56,1395
A,341,1204460.76,940626.56,1395
A,342,920573.48,702942.61,2030
A,342,920573.48,702942.61,2030
A,343,779979.16,842941.72,2910
A,343,779979.16,842941.72,2910
A,344,889665.54,888316.69,4070
A,344,889665.54,888316.69,4070
A,345,963544.55,651746.2,1079
A,345,963544.55,651746.2,1079
A,346,1126007.54,786173.21,2106
A,346,1126007.54,786173.21,2106
A,347,785278.43,785448.23,2216
A,347,785278.43,785448.23,2216
A,348,784603.49,786589.52,2070
A,348,784603.49,786589.52,2070
A,349,1126476.43,975307.77,1455
A,349,1126476.43,975307.77,1455
A,350,764873.24,844037.88,4914
A,350,764873.24,844037.88,4914
A,351,924301.23,1038311.5,877
A,351,924301.23,1038311.5,877
A,352,893767.51,744233.35,297
A,352,893767.51,744233.35,297
A,353,1220823.0,872957.55,2758
A,353,1220823.0,872957.55,2758
A,354,900637.18,1042046.3,5887
A,354,900637.18,1042046.3,5887
A,355,652457.04,565510.62,128
A,355,652457.04,565510.62,128
A,356,677284.96,1057784.37,465
A,356,677284.96,1057784.37,465
A,357,1075936.25,985824.34,328
A,357,1075936.25,985824.34,328
A,358,678238.34,1031232.89,690
A,358,678238.34,1031232.89,690
A,359,823555.0,786866.01,1770
A,359,823555.0,786866.01,1770
A,360,840741.42,780603.71,1809
A,360,840741.42,780603.71,1809
A,361,759752.17,822072.93,524
A,361,759752.17,822072.93,524
A,362,877313.95,775983.36,80
A,362,877313.95,775983.36,80
A,363,1185308.55,978457.07,732
A,363,1185308.55,978457.07,732
A,364,595595.16,935403.05,1384
A,364,595595.16,935403.05,1384
A,365,1215365.58,911735.19,19
A,365,1215365.58,911735.19,19
A,366,1026641.25,694806.15,3736
A,366,1026641.25,694806.15,3736
A,367,806536.75,833046.9,2586
A,367,806536.75,833046.9,2586
A,368,1094479.23,981393.84,4003
A,368,1094479.23,981393.84,4003
A,369,710258.93,1061222.07,514
A,369,710258.93,1061222.07,514
A,370,952963.83,858155.46,1228
A,370,952963.83,858155.46,1228
A,371,662765.99,542408.26,606
A,371,662765.99,542408.26,606
A,372,938591.88,791724.35,8326
A,372,938591.88,791724.35,8326
A,373,799756.19,856803.53,201
A,373,799756.19,856803.53,201
A,374,1138368.04,1050560.81,2064
A,374,1138368.04,1050560.81,2064
A,375,662461.94,299898.47,997
A,375,662461.94,299898.47,997
A,376,878634.86,876059.35,4
A,376,878634.86,876059.35,4
A,377,882675.58,681655.6,358
A,377,882675.58,681655.6,358
A,378,1273843.52,872565.13,1522
A,378,1273843.52,872565.13,1522
A,379,718893.9,1012294.21,906
A,379,718893.9,1012294.21,906
A,380,927400.82,655203.41,1656
A,380,927400.82,655203.41,1656
A,381,851949.19,784283.99,3604
A,381,851949.19,784283.99,3604
A,382,1136949.11,1056742.37,209
A,382,1136949.11,1056742.37,209
A,383,1201667.45,944793.63,5570
A,383,1201667.45,944793.63,5570
A,384,1283389.55,886104.43,1621
A,384,1283389.55,886104.43,1621
A,385,643937.89,1096273.76,8
A,385,643937.89,1096273.76,8
A,386,921355.34,945570.53,3267
A,386,921355.34,945570.53,3267
A,387,983684.66,750353.56,2371
A,387,983684.66,750353.56,2371
A,388,843251.84,785599.44,376
A,388,843251.84,785599.44,376
A,389,643897.79,1096051.37,5855
A,389,643897.79,1096051.37,5855
A,390,942886.54,880363.86,700
A,390,942886.54,880363.86,700
A,391,779218.46,791619.82,319
A,391,779218.46,791619.82,319
A,392,991028.79,922966.7,2284
A,392,991028.79,922966.7,2284
A,393,871133.69,896335.34,4916
A,393,871133.69,896335.34,4916
A,394,871034.57,693807.75,873
A,394,871034.57,693807.75,873
A,395,923152.95,696716.68,204
A,395,923152.95,696716.68,204
A,396,1055437.51,943869.38,5081
A,396,1055437.51,943869.38,5081
A,397,820152.47,989044.39,1090
A,397,820152.47,989044.39,1090
A,398,1087766.6,1000661.31,723
A,398,1087766.6,1000661.31,723
A,399,960423.79,666236.72,4987
A,399,960423.79,666236.72,4987
A,400,966805.64,667266.98,2154
A,400,966805.64,667266.98,2154
A,401,1210217.78,862298.13,820
A,401,1210217.78,862298.13,820
A,402,984166.92,1006600.76,490
A,402,984166.92,1006600.76,490
A,403,362456.33,607115.99,187
A,403,362456.33,607115.99,187
A,404,1075164.41,996972.47,803
A,404,1075164.41,996972.47,803
